"day","month","year","speaker"
1,10,18,"Elias"
2,10,18,"Elias"
10,10,18,"Lydia"
10,10,18,"Lydia"
10,10,18,"Elias"
10,10,18,"Elias"
10,10,18,"Lydia"
10,10,18,"Elias"
10,10,18,"Lydia"
10,10,18,"Lydia"
10,10,18,"Elias"
11,10,18,"Elias"
11,10,18,"Lydia"
11,10,18,"Lydia"
11,10,18,"Elias"
11,10,18,"Elias"
11,10,18,"Lydia"
11,10,18,"Lydia"
11,10,18,"Lydia"
11,10,18,"Elias"
11,10,18,"Elias"
11,10,18,"Lydia"
11,10,18,"Elias"
11,10,18,"Lydia"
11,10,18,"Lydia"
11,10,18,"Elias"
11,10,18,"Elias"
11,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Elias"
12,10,18,"Lydia"
12,10,18,"Lydia"
12,10,18,"Lydia"
13,10,18,"Lydia"
13,10,18,"Lydia"
13,10,18,"Lydia"
13,10,18,"Elias"
13,10,18,"Elias"
13,10,18,"Elias"
15,10,18,"Lydia"
15,10,18,"Lydia"
15,10,18,"Lydia"
15,10,18,"Elias"
15,10,18,"Elias"
15,10,18,"Lydia"
15,10,18,"Elias"
15,10,18,"Elias"
15,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Elias"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Elias"
16,10,18,"Elias"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
16,10,18,"Lydia"
16,10,18,"Elias"
16,10,18,"Lydia"
17,10,18,"Elias"
17,10,18,"Lydia"
17,10,18,"Elias"
17,10,18,"Elias"
17,10,18,"Elias"
17,10,18,"Lydia"
17,10,18,"Lydia"
17,10,18,"Elias"
19,10,18,"Elias"
21,10,18,"Elias"
23,10,18,"Lydia"
23,10,18,"Lydia"
25,10,18,"Elias"
25,10,18,"Lydia"
25,10,18,"Elias"
25,10,18,"Elias"
25,10,18,"Elias"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Elias"
25,10,18,"Lydia"
25,10,18,"Elias"
25,10,18,"Elias"
25,10,18,"Elias"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Lydia"
25,10,18,"Elias"
25,10,18,"Elias"
26,10,18,"Lydia"
26,10,18,"Elias"
26,10,18,"Lydia"
26,10,18,"Elias"
26,10,18,"Lydia"
26,10,18,"Elias"
26,10,18,"Lydia"
26,10,18,"Elias"
26,10,18,"Lydia"
26,10,18,"Lydia"
26,10,18,"Elias"
26,10,18,"Elias"
26,10,18,"Lydia"
26,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Elias"
27,10,18,"Elias"
27,10,18,"Lydia"
27,10,18,"Lydia"
28,10,18,"Elias"
28,10,18,"Lydia"
28,10,18,"Elias"
28,10,18,"Lydia"
29,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Elias"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Lydia"
30,10,18,"Lydia"
30,10,18,"Elias"
30,10,18,"Elias"
31,10,18,"Elias"
31,10,18,"Elias"
31,10,18,"Elias"
31,10,18,"Elias"
1,11,18,"Lydia"
1,11,18,"Lydia"
1,11,18,"Elias"
1,11,18,"Elias"
1,11,18,"Lydia"
2,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Lydia"
3,11,18,"Elias"
3,11,18,"Elias"
5,11,18,"Elias"
5,11,18,"Lydia"
5,11,18,"Lydia"
5,11,18,"Elias"
5,11,18,"Lydia"
5,11,18,"Lydia"
5,11,18,"Lydia"
5,11,18,"Elias"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Elias"
7,11,18,"Lydia"
7,11,18,"Lydia"
7,11,18,"Elias"
8,11,18,"Elias"
8,11,18,"Elias"
15,11,18,"Lydia"
15,11,18,"Lydia"
15,11,18,"Elias"
15,11,18,"Lydia"
15,11,18,"Elias"
18,11,18,"Elias"
18,11,18,"Lydia"
18,11,18,"Lydia"
18,11,18,"Lydia"
19,11,18,"Elias"
19,11,18,"Lydia"
19,11,18,"Lydia"
19,11,18,"Lydia"
19,11,18,"Lydia"
19,11,18,"Elias"
20,11,18,"Elias"
20,11,18,"Lydia"
20,11,18,"Lydia"
20,11,18,"Lydia"
20,11,18,"Lydia"
20,11,18,"Elias"
20,11,18,"Lydia"
20,11,18,"Elias"
21,11,18,"Elias"
22,11,18,"Lydia"
22,11,18,"Lydia"
22,11,18,"Elias"
22,11,18,"Elias"
22,11,18,"Elias"
23,11,18,"Lydia"
23,11,18,"Lydia"
23,11,18,"Lydia"
23,11,18,"Lydia"
23,11,18,"Elias"
23,11,18,"Lydia"
24,11,18,"Elias"
25,11,18,"Lydia"
26,11,18,"Elias"
26,11,18,"Lydia"
26,11,18,"Elias"
26,11,18,"Elias"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Elias"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Elias"
26,11,18,"Elias"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Elias"
26,11,18,"Elias"
26,11,18,"Lydia"
26,11,18,"Lydia"
26,11,18,"Elias"
27,11,18,"Elias"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Elias"
27,11,18,"Elias"
27,11,18,"Elias"
27,11,18,"Elias"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Elias"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Lydia"
27,11,18,"Elias"
27,11,18,"Elias"
27,11,18,"Lydia"
