towns	tmax	tmin	rain	sun	twater
Aachen	22	-1	131	47
Aalen	23	-4	167	60
Abenberg	24	-4	114	56
Abstatt	23	-4	167	56
Achern	24	-2	158	55
Achslach	23	-5	173	57
Adelsdorf	24	-4	114	55
"Adelshofen bei Rothenburg o.d.T."	24	-4	114	58
Adelsried	23	-5	173	59
Adenau	24	-1	129	54
Aerzen	22	-2	122	51
Ahaus	22	-3	122	49
Ahlbeck	21	-2	113	56	8
Ahlen	23	-2	180	51
Ahlsdorf	24	-3	170	45
Ahorntal	24	-4	114	56
Ahrensburg	22	-2	190	51
Ahrensfelde	23	-3	166	55
Ahrenshoop	21	-1	113	54	8
Ahrweiler	23	-1	180	50
Aichtal	23	-4	167	57
Aidenbach	24	-6	184	56
Ainring	24	-5	184	54
Aitern	25	-2	174	52
Albstadt	23	-4	167	59
Aldersbach	24	-6	184	56
Alexisbad	24	-3	170	47
"Alf an der Mosel"	23	-1	129	53
Alfdorf	23	-4	167	58
Alfeld	22	-2	122	49
Alheim	17	-2	126	51
Alken	23	-1	129	50
"Allendorf an der Lumda"	24	-2	111	52
Allensbach	23	-5	173	56
Alleringersleben	22	-2	122	49
Allersberg	24	-4	114	57
Allershausen	23	-5	173	56
Allrode	22	-2	122	47
Alpirsbach	26	-2	158	54
Alsdorf	22	-1	131	49
Alsfeld	18	-3	126	50
"Alt Duvenstedt"	20	-3	138	53
"Alt Ruppin"	23	-3	113	55
"Alt Schloen"	21	-2	113	55
"Alt Schwerin"	21	-2	113	54
"Alt Zauche"	23	-3	166	58
"Alt-Reddevitz"	22	-2	113	57	8
Altbach	23	-4	167	60
Altdorf	23	-5	173	55
"Altdorf bei Nuernberg"	23	-5	173	55
Altenahr	24	-1	180	51
Altenau	22	-2	122	48
Altenberg	24	-4	169	57
Altenbrak	22	-2	122	47
Altenburg	24	-3	170	44
Altenhof	23	-3	113	54
Altenholz	20	-2	138	52
Altenkirchen	23	-1	180	50
Altenmedingen	22	-3	190	51
Altenstadt	23	-5	173	58
Altensteig-Wart	23	-4	167	62
Altentreptow	21	-2	113	53	8
Alterkuelz	25	-1	129	54
Altfunnixsiel	20	-1	199	53
Altglashuetten	25	-2	174	53
Altharlingersiel	20	-1	199	51
Althuettendorf	24	-3	113	52
Altlay	23	-1	129	53
Altomuenster	23	-5	173	58
Altreichenau	24	-6	187	57
Altrip	24	-2	111	53
Altschoenau	24	-8	187	59
Altoetting	23	-6	184	58
Alverdisse	22	0	143	48
Alzenau	24	-3	111	53
Alzey	24	-3	111	51
Amberg	25	-4	114	58
"Amberg am Starnberger See"	24	-3	114	57
Amelinghausen	22	-2	190	48
Amerang	23	-5	173	57
Ammenhausen	18	-2	126	48
Amorbach	24	-3	111	54
Andechs	23	-5	173	54
Andernach	25	-1	180	50
Angelbachtal	24	-3	111	50
Anger	24	-6	184	56
Angermuende	23	-3	113	54
Anklam-Boemitz	21	-2	113	54	8
Ankum	22	-4	122	47
Annaberg-Buchholz	24	-5	150	61
Annaberg-Ehrenfriedersdorf	23	-6	150	65
Annaburg	24	-3	170	47
Ansbach	23	-4	114	55
Apelern	23	-2	122	48
Apen	20	-2	199	52
Apfeltrang	23	-5	173	57
Apolda	24	-4	170	48
Archsum	19	-1	133	56	9
Arendsee	21	-2	113	53
Arendsee	23	-3	113	55
Arnbruck	24	-6	150	63
Arnsberg	22	0	143	47
Arnsberg-Neheim	22	0	143	47
Arnsbruck	24	-5	150	63
Arnschwang	24	-5	150	63
Arnstadt	24	-3	170	45
Arrach	24	-5	150	65
Arzberg	24	-4	169	57
Aschaffenburg	24	-2	111	51
"Aschau im Chiemgau"	24	-6	184	59
Aschbach	23	-2	129	53
Ascheberg	20	-3	138	50
"Ascheberg Davensberg"	22	0	143	46
Aschersleben	24	-3	170	47
Aschheim	23	-5	173	54
Aselage-Herzlake	22	-2	122	49
Asperg	23	-4	167	61
Assmannshausen	23	-1	129	51
Attendorn	22	0	143	46
Attenkirchen	23	-4	173	56
Atterwasch	23	-3	166	57
"Au in der Hallertau"	22	-5	173	55
Aue	25	-4	169	56
Auerstedt	23	-4	170	47
Aufham	23	-5	173	55
Aufkirchen	23	-5	173	54
Auggen	25	-2	174	52
Augsburg	23	-5	173	57
Augustfehn	20	-2	199	49
Augustusburg	24	-3	169	59
Auhausen	24	-4	114	56
Aulendorf	22	-5	173	57
Aumuehle	22	-2	190	51
Aurach	23	-4	114	57
Aurich	21	-1	138	45
Aying	23	-5	173	57
Baabe	20	-2	106	59	8
Babenhausen	25	-2	111	51
Bacharach	23	-1	129	53
Backnang	24	-4	167	59
"Bad Aibling"	22	-5	173	58
"Bad Alexandersbad"	24	-5	114	56
"Bad Arolsen"	28	-3	126	52
"Bad Bayersoien"	25	-7	172	57
"Bad Bederkesa"	20	-2	199	49
"Bad Bellingen"	25	-2	174	54
"Bad Bentheim"	22	-1	122	47
"Bad Bergzabern"	24	-3	111	51
"Bad Berka"	24	-4	170	46
"Bad Berneck"	24	-4	114	56
"Bad Bertrich"	23	-1	129	50
"Bad Bevensen"	22	-3	190	50
"Bad Bibra"	24	-3	170	46
"Bad Birnbach"	26	-6	184	59
"Bad Blankenburg"	24	-3	170	47
"Bad Blenhorst"	22	-2	174	46
"Bad Bocklet"	24	-3	170	47
"Bad Boll"	23	-4	167	60
"Bad Brambach"	24	-4	114	56
"Bad Bramstedt"	21	-2	190	48
"Bad Breisig"	23	-1	180	48
"Bad Brueckenau"	24	-2	111	53
"Bad Colberg"	23	-5	114	60
"Bad Ditzenbach"	23	-4	167	57
"Bad Doberan"	22	-2	113	55	8
"Bad Driburg"	22	0	143	48
