,Country,2019,2016,2010,2005,2000
1,France,31.2,31.5,30.7,28.7,27.5
2,Belgium,28.9,29.0,28.3,25.3,23.5
3,Finland,28.7,30.8,27.4,23.9,22.6
4,Italy,28.2,28.9,27.6,24.1,22.6
5,Denmark,28.0,28.7,28.9,25.2,23.8
6,Austria,26.6,27.8,27.6,25.9,25.5
7,Sweden,26.1,27.1,26.3,27.4,26.8
8,Germany,25.1,25.3,25.9,26.3,25.4
9,Norway,25.0,25.1,21.9,20.7,20.4
10,Spain,23.7,24.6,25.8,20.4,19.5
11,Greece,23.5,27.0,23.8,20.4,18.4
12,Portugal,22.6,24.1,24.5,22.3,18.5
13,Luxembourg,22.4,21.8,22.9,22.4,18.6
14,Japan,21.9,,,,
15,Slovenia,21.2,22.8,23.4,21.4,22.4
16,Poland,21.1,20.2,20.6,20.9,20.2
17,United Kingdom,20.6,21.5,22.8,19.4,17.7
18,Hungary,19.4,20.6,23.0,21.9,20.1
19,New Zealand,18.9,,,,
20,Czech Republic,18.7,19.4,19.8,18.1,18.0
21,United States,18.7,19.3,19.3,15.6,14.3
22,Estonia,18.4,17.4,18.3,13.0,13.8
23,Australia,17.8,19.1,16.7,16.7,18.2
24,Canada,17.3,,,,
25,Slovakia,17.0,18.6,18.1,15.8,17.6
26,Netherlands,16.7,22.0,22.1,20.5,18.4
27,Latvia,16.2,14.5,18.7,12.2,14.8
28,Lithuania,16.2,,,,
29,Israel,16.0,16.1,16.0,16.3,17.0
30,Switzerland,16.0,19.7,18.4,18.4,16.3
31,Iceland,16.0,15.2,17.0,15.9,14.6
32,Ireland,14.4,16.1,22.4,14.9,12.6
33,Turkey,12.5,,,,
34,South Korea,11.1,10.4,8.3,6.1,4.5
35,Chile,10.9,,,,
